Country/Region,2020-03-25
Afghanistan,2
Albania,17
Algeria,65
Andorra,1
Angola,0
Antigua and Barbuda,0
Argentina,52
Armenia,16
Australia,118
Austria,9
Azerbaijan,10
"Bahamas, The",1
Bahrain,177
Bangladesh,7
Barbados,0
Belarus,29
Belgium,547
Belize,0
Benin,0
Bhutan,0
Bolivia,0
Bosnia and Herzegovina,2
Brazil,2
British Virgin Islands,0
Brunei,2
Bulgaria,4
Burkina Faso,10
Cabo Verde,0
Cambodia,10
Cameroon,2
Canada,185
Central African Republic,0
Chad,0
Chile,22
China,73762
Colombia,8
Congo (Brazzaville),0
Congo (Kinshasa),0
Costa Rica,2
Cote d'Ivoire,3
Croatia,22
Cruise Ship,587
Cuba,1
Cyprus,3
Czechia,10
Denmark,41
Djibouti,0
Dominica,0
Dominican Republic,3
Ecuador,3
Egypt,95
El Salvador,0
Equatorial Guinea,0
Eritrea,0
Estonia,8
Eswatini,0
Ethiopia,0
Fiji,0
Finland,10
France,3907
Gabon,0
"Gambia, The",0
Georgia,10
Germany,3547
Ghana,0
Greece,36
Grenada,0
Guatemala,4
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0
Holy See,0
Honduras,0
Hungary,21
Iceland,56
India,43
Indonesia,31
Iran,9625
Iraq,103
Ireland,5
Israel,58
Italy,9362
Jamaica,2
Japan,310
Jordan,1
Kazakhstan,0
Kenya,1
"Korea, South",3730
Kuwait,43
Kyrgyzstan,0
Laos,0
Latvia,1
Lebanon,20
Liberia,0
Libya,0
Liechtenstein,0
Lithuania,1
Luxembourg,6
Madagascar,0
Malaysia,199
Maldives,8
Mali,0
Malta,2
Mauritania,0
Mauritius,0
Mexico,4
Moldova,2
Monaco,1
Mongolia,0
Montenegro,0
Morocco,7
Mozambique,0
Myanmar,0
Namibia,2
Nepal,1
Netherlands,6
New Zealand,27
Nicaragua,0
Niger,0
Nigeria,2
North Macedonia,1
Norway,6
Oman,17
Pakistan,21
Palestine,16
Panama,2
Papua New Guinea,0
Paraguay,0
Peru,1
Philippines,26
Poland,7
Portugal,22
Qatar,41
Romania,86
Russia,29
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,4
Saudi Arabia,29
Senegal,9
Serbia,15
Seychelles,0
Singapore,160
Slovakia,7
Slovenia,10
Somalia,0
South Africa,12
Spain,5367
Sri Lanka,3
Sudan,0
Suriname,0
Sweden,16
Switzerland,131
Syria,0
Taiwan*,29
Tanzania,0
Thailand,70
Timor-Leste,0
Togo,1
Trinidad and Tobago,0
Tunisia,2
Turkey,26
US,394
Uganda,0
Ukraine,1
United Arab Emirates,52
United Kingdom,140
Uruguay,0
Uzbekistan,0
Venezuela,15
Vietnam,17
Zambia,0
Zimbabwe,0
